Fecha,Categoría,Tipo,Marca,Cantidad_kg,Unidades_sacos,Proveedor,Nro_contenedor
,Resina,3003,Synpol,27000,1080,,
,Resina,3003,Synpol,27000,1080,,
,Resina,3003,Petrothene,16425,657,,
,Resina,3003,Petrothene,24500,980,,
,Resina,11PG1,Esenttia,17125,685,,
,Resina,11PG1,ExxonMobil,16400,656,,
,Resina,11PG1,Cynpol,27000,1080,,
,Resina,11PG1,Cynpol,27000,1080,,
,Resina,11PG4,Geochen,24375,975,,
,Resina,11PG4,Cynpol,26325,1053,,
,Resina,11PG4,Cynpol,9300,372,,
,Resina,348,Cynpol,13800,552,,
,Resina,348,Cynpol,27000,1080,,
,Resina,348,Cynpol,27000,1080,,
,Resina,Metaluceno,Cynpol,7350,293,,
,Resina,Metaluceno,Cynpol,27000,1080,,
,Resina,Metaluceno,Cynpol,27000,1080,,
,Resina,Metaluceno,Cynpol,27000,1080,,
,Resina,6200,Alta cinpol,9475,379,,
,Resina,6200,Cynpol,27000,1080,,
,Resina,6200,Cynpol,26800,1072,,
,Pigmento,Blanco,,200,8,,
,Pigmento,Negro,,175,7,,
,Deslizante,,,225,9,,
,Resina,Bapolene,fb7000,4450,178,,
